nha,omat_selected_plant,omat_selected_supplier,omat_selected_suppliercd,suppcd_1050,suppcd_1060,suppcd_1090,suppcd_1900,suppcd_2000,suppcd_3120,suppcd_po1,suppcd_po2,suppcd_pr,suppname_1050,suppname_1060,suppname_1090,suppname_1900,suppname_2000,suppname_3120,suppname_po1,suppname_po2,suppname_pr
01-443560-02,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
01-443560-02,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
01-443560-02,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-00343-01,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-00343-01,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-00343-01,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-00343-01,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-00402-02,2000,BENTEK CORPORATION,0001034088,,,,0001034088,0001034088,,,,,,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-00402-02,2000,BENTEK CORPORATION,0001034088,,,,0001034088,0001034088,,,,,,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-00402-02,2000,BENTEK CORPORATION,0001034088,,,,0001034088,0001034088,,,,,,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-00402-02,2000,BENTEK CORPORATION,0001034088,,,,0001034088,0001034088,,,,,,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-034711-00,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-034711-00,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-034711-00,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-034711-00,2000,ROGAR MANUFACTURING INC,0001034474,,,,0001034474,0001034474,,,,,,,,ROGAR MANUFACTURING INC,ROGAR MANUFACTURING INC,,,,
02-042690-00,,,,,,,,,,,,,,,,,,,,,
02-042690-00,,,,,,,,,,,,,,,,,,,,,
02-042690-00,,,,,,,,,,,,,,,,,,,,,
02-042690-00,,,,,,,,,,,,,,,,,,,,,
02-045557-00,,,,,,,,,,,,,,,,,,,,,
02-045557-00,,,,,,,,,,,,,,,,,,,,,
02-045557-00,,,,,,,,,,,,,,,,,,,,,
02-045557-00,,,,,,,,,,,,,,,,,,,,,
02-049458-00,,,,,,,,,,,,,,,,,,,,,
02-049458-00,,,,,,,,,,,,,,,,,,,,,
02-049458-00,,,,,,,,,,,,,,,,,,,,,
02-049458-00,,,,,,,,,,,,,,,,,,,,,
02-055723-21,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
